"","slope.pseudo.index","p.pseudo.index","Transcripts","qvalue","feature","rank"
"CFL2"," 0.003828420","7.824610e-03","   447","3.942992e-02","UP",0.993421052631579
"EPB41L4A"," 0.003673394","8.858168e-03","   178","4.247896e-02","UP",0.996710526315789
"YPEL3"," 0.003513841","7.061590e-03","   390","3.688013e-02","UP",1
"RBP4","-4.967205741","3.513653e-08"," 74515","4.805590e-06","DOWN",0.00113122171945701
"FTH1","-0.779944937","1.135322e-08"," 38812","2.210810e-06","DOWN",0.00226244343891403
"FTL","-0.693438515","1.477656e-06"," 50631","6.343953e-05","DOWN",0.00339366515837104
"TTR","-0.483587953","1.012385e-07"," 41690","9.355869e-06","DOWN",0.00452488687782805
"B2M","-0.392450046","1.349893e-04"," 32294","1.902607e-03","DOWN",0.00565610859728507
"TPT1","-0.268533590","1.446121e-08"," 22968","2.543509e-06","DOWN",0.00678733031674208
"RPL3","-0.261815792","9.029386e-07"," 22706","4.516709e-05","DOWN",0.00791855203619909
"RPS12","-0.237704248","1.479981e-07"," 18491","1.241461e-05","DOWN",0.00904977375565611
"FAM159B","-0.215350563","3.096415e-11","  8846","8.441498e-08","DOWN",0.0101809954751131
"RPL23","-0.155848982","5.026096e-05"," 15008","8.955705e-04","DOWN",0.0113122171945701
"RPS20","-0.155432172","2.215854e-08"," 12079","3.451943e-06","DOWN",0.0124434389140271
"RPS11","-0.143036781","1.261219e-09"," 16491","5.730594e-07","DOWN",0.0135746606334842
"RPS8","-0.142351638","1.905315e-03"," 24151","1.392108e-02","DOWN",0.0147058823529412
"RPL30","-0.116583079","3.745340e-06"," 14893","1.183770e-04","DOWN",0.0158371040723982
"RPS23","-0.115069258","1.524386e-05"," 12065","3.507011e-04","DOWN",0.0169683257918552
"RPS15A","-0.110785979","1.704263e-04"," 10526","2.277545e-03","DOWN",0.0180995475113122
"ERO1B","-0.109864195","3.613600e-08","  9658","4.805590e-06","DOWN",0.0192307692307692
"MYL6","-0.109693169","2.944131e-09"," 11251","1.059961e-06","DOWN",0.0203619909502262
"SLC30A8","-0.096853970","3.827347e-04","  9224","4.247594e-03","DOWN",0.0214932126696833
"SCGB2A1","-0.096367633","5.423708e-08","  3489","6.160919e-06","DOWN",0.0226244343891403
"FXYD2","-0.095653557","2.189732e-12","  2521","1.193937e-08","DOWN",0.0237556561085973
"TM4SF4","-0.085191305","1.179529e-05","   978","2.840605e-04","DOWN",0.0248868778280543
"RPS25","-0.080893128","2.144252e-03","  9068","1.528287e-02","DOWN",0.0260180995475113
"RPS16","-0.079822123","1.222177e-04"," 10902","1.794598e-03","DOWN",0.0271493212669683
"COX8A","-0.076010752","4.592062e-10","  5434","3.129739e-07","DOWN",0.0282805429864253
"PABPC1","-0.075132126","1.421093e-05"," 14747","3.300880e-04","DOWN",0.0294117647058824
"FAU","-0.074752952","3.244523e-06","  9146","1.103301e-04","DOWN",0.0305429864253394
"RPLP2","-0.071581620","6.565717e-03"," 12245","3.509719e-02","DOWN",0.0316742081447964
"FKBP2","-0.071223446","2.822064e-06","  5942","1.019014e-04","DOWN",0.0328054298642534
"RPS13","-0.070328234","2.368354e-04"," 13484","2.973477e-03","DOWN",0.0339366515837104
"RPS4Y1","-0.064960613","7.577900e-09","  3647","1.681644e-06","DOWN",0.0350678733031674
"PSMA7","-0.064664913","4.794927e-06","  6683","1.436485e-04","DOWN",0.0361990950226244
"HADH","-0.064504966","3.716153e-06","  7852","1.183770e-04","DOWN",0.0373303167420814
"SEC11C","-0.064137846","1.049566e-04"," 10720","1.612712e-03","DOWN",0.0384615384615385
"NPC2","-0.063767516","6.785496e-08","  4606","7.114898e-06","DOWN",0.0395927601809955
"EPCAM","-0.063169048","6.395657e-04"," 10049","6.096486e-03","DOWN",0.0407239819004525
"HINT1","-0.062904840","9.038723e-08","  8352","8.497076e-06","DOWN",0.0418552036199095
"SCGN","-0.062339207","1.925657e-05"," 11718","4.285518e-04","DOWN",0.0429864253393665
"RPL27","-0.062061145","1.272690e-03","  9659","1.034004e-02","DOWN",0.0441176470588235
"RPL7A","-0.061145865","8.832354e-05","  9708","1.403179e-03","DOWN",0.0452488687782805
"HNRNPA2B1","-0.060801224","3.669654e-06","  6047","1.183770e-04","DOWN",0.0463800904977376
"RAB11FIP1","-0.056317696","4.095702e-09","  2327","1.116577e-06","DOWN",0.0475113122171946
"ALDH1A1","-0.056156919","3.290249e-08","  4177","4.805590e-06","DOWN",0.0486425339366516
"TPM3","-0.054309424","1.030673e-05","  5515","2.537835e-04","DOWN",0.0497737556561086
"UBA52","-0.054190251","2.015328e-05","  6955","4.448764e-04","DOWN",0.0509049773755656
"DSP","-0.051243647","4.705006e-04","  7713","4.906367e-03","DOWN",0.0520361990950226
"CD63","-0.051121138","2.051453e-03"," 11958","1.477598e-02","DOWN",0.0531674208144796
"CYSTM1","-0.050725680","2.089224e-07","  3622","1.553271e-05","DOWN",0.0542986425339367
"S100A6","-0.049690474","7.594468e-03","  9014","3.855525e-02","DOWN",0.0554298642533937
"GSTP1","-0.049272019","3.080747e-06","  2048","1.083714e-04","DOWN",0.0565610859728507
"COX4I1","-0.048255894","4.722488e-07","  7865","2.798810e-05","DOWN",0.0576923076923077
"PLCXD3","-0.045246331","2.189478e-06","  3972","8.466656e-05","DOWN",0.0588235294117647
"SEC61B","-0.045123990","5.260461e-10","  3800","3.186924e-07","DOWN",0.0599547511312217
"RPS5","-0.043787549","1.940690e-06"," 10328","7.838135e-05","DOWN",0.0610859728506787
"TAX1BP1","-0.043717541","2.553107e-07","  4855","1.807876e-05","DOWN",0.0622171945701357
"LUC7L3","-0.043658499","6.499775e-07","  5684","3.593988e-05","DOWN",0.0633484162895928
"MAN1A2","-0.042555206","1.932102e-08","  2537","3.098428e-06","DOWN",0.0644796380090498
"MYL12B","-0.042283053","5.921974e-05","  4202","1.015383e-03","DOWN",0.0656108597285068
"MYH10","-0.041770369","7.827401e-09","  1337","1.681644e-06","DOWN",0.0667420814479638
"FFAR4","-0.041655354","1.352594e-08","  1205","2.458309e-06","DOWN",0.0678733031674208
"RPL10A","-0.041363002","5.596178e-06","  7000","1.600382e-04","DOWN",0.0690045248868778
"NCL","-0.039549163","3.984488e-05","  6886","7.596210e-04","DOWN",0.0701357466063348
"ARPC5","-0.038792581","7.316801e-08","  3253","7.387847e-06","DOWN",0.0712669683257919
"TMBIM6","-0.038429713","1.839031e-04","  7148","2.393343e-03","DOWN",0.0723981900452489
"TTC3","-0.037954592","1.132448e-04","  5983","1.708842e-03","DOWN",0.0735294117647059
"DYNLRB1","-0.037600360","1.532955e-07","  3974","1.266415e-05","DOWN",0.0746606334841629
"MATR3","-0.037222483","3.380895e-06","  4280","1.130927e-04","DOWN",0.0757918552036199
"PPIB","-0.036491440","1.120754e-04","  5999","1.702183e-03","DOWN",0.0769230769230769
"ATP5G2","-0.035601246","4.313375e-05","  6370","8.054244e-04","DOWN",0.0780542986425339
"NDUFA11","-0.035070364","3.512948e-07","  3181","2.307725e-05","DOWN",0.0791855203619909
"SYNE2","-0.034678111","2.880303e-05","  3810","5.926288e-04","DOWN",0.080316742081448
"GOLGA4","-0.034509539","2.737849e-03","  5018","1.851106e-02","DOWN",0.081447963800905
"PAX6","-0.034450376","5.271142e-04","  4787","5.332200e-03","DOWN",0.082579185520362
"COX7A2","-0.034256967","5.829011e-04","  5365","5.700926e-03","DOWN",0.083710407239819
"COX6C","-0.034207654","9.840636e-04","  6191","8.423143e-03","DOWN",0.084841628959276
"ARPC2","-0.033984972","8.356753e-07","  4114","4.339490e-05","DOWN",0.085972850678733
"RPS9","-0.033788749","2.135592e-03","  7100","1.524107e-02","DOWN",0.08710407239819
"RBM25","-0.033634490","4.218686e-04","  4619","4.545871e-03","DOWN",0.0882352941176471
"MTRNR2L2","-0.033240912","8.018940e-09","   579","1.681644e-06","DOWN",0.0893665158371041
"NDUFA13","-0.032103251","3.374852e-09","  3911","1.059961e-06","DOWN",0.0904977375565611
"EIF3A","-0.032073307","7.933274e-04","  4367","7.161532e-03","DOWN",0.0916289592760181
"CD9","-0.031883497","5.299293e-05","   756","9.320660e-04","DOWN",0.0927601809954751
"SNRPD2","-0.031780754","4.779270e-05","  3857","8.628694e-04","DOWN",0.0938914027149321
"SF3B5","-0.031668185","6.255411e-08","  2038","6.687690e-06","DOWN",0.0950226244343891
"LRRFIP1","-0.031286889","3.260020e-09","  1315","1.059961e-06","DOWN",0.0961538461538462
"COX5A","-0.030847279","5.936402e-08","  2153","6.473569e-06","DOWN",0.0972850678733032
"SERF2","-0.030571103","3.086354e-03","  6661","2.032384e-02","DOWN",0.0984162895927602
"IQGAP1","-0.030418735","1.851253e-07","  2079","1.462874e-05","DOWN",0.0995475113122172
"SEPT7","-0.030036236","5.645659e-07","  3711","3.248946e-05","DOWN",0.100678733031674
"TOMM20","-0.029951935","1.210920e-06","  3091","5.456582e-05","DOWN",0.101809954751131
"RPL10","-0.029843189","3.372053e-04","  2489","3.895318e-03","DOWN",0.102941176470588
"GABARAP","-0.029758793","9.901849e-04","  7489","8.449011e-03","DOWN",0.104072398190045
"PNN","-0.029387562","2.782545e-05","  3278","5.790703e-04","DOWN",0.105203619909502
"AKAP9","-0.029157389","8.776841e-03","  5981","4.220031e-02","DOWN",0.106334841628959
"DHRS2","-0.029051193","1.290597e-06","  1709","5.705855e-05","DOWN",0.107466063348416
"RHOA","-0.029024190","4.693640e-03","  3815","2.751803e-02","DOWN",0.108597285067873
"OCIAD1","-0.029014328","3.119286e-04","  4306","3.681321e-03","DOWN",0.10972850678733
"ATP5J","-0.028895474","4.960481e-05","  3717","8.867768e-04","DOWN",0.110859728506787
"RPS7","-0.028394022","1.034536e-04","  3272","1.601620e-03","DOWN",0.111990950226244
"TXN","-0.028318344","2.806034e-06","  2750","1.019014e-04","DOWN",0.113122171945701
"NDUFB6","-0.028307973","1.061439e-06","  3055","4.997403e-05","DOWN",0.114253393665158
"PPIG","-0.028249295","3.779225e-04","  3791","4.213901e-03","DOWN",0.115384615384615
"EIF5B","-0.028229559","5.219714e-04","  3543","5.289990e-03","DOWN",0.116515837104072
"RFX6","-0.028112508","3.248189e-08","   821","4.805590e-06","DOWN",0.117647058823529
"EZR","-0.028065712","1.290987e-03","  1616","1.040024e-02","DOWN",0.118778280542986
"PRRC2C","-0.027980194","1.236257e-05","  3350","2.943497e-04","DOWN",0.119909502262443
"TCEB2","-0.027412053","2.152462e-03","  4131","1.532136e-02","DOWN",0.1210407239819
"KIF5B","-0.027281169","3.672473e-05","  3316","7.151399e-04","DOWN",0.122171945701357
"TMBIM4","-0.027131715","4.527790e-06","  3381","1.363949e-04","DOWN",0.123303167420814
"DST","-0.026532502","3.333381e-07","  2585","2.216469e-05","DOWN",0.124434389140271
"PPIA","-0.026508344","4.390274e-06","  1501","1.344813e-04","DOWN",0.125565610859729
"SORBS2","-0.026436542","3.800975e-07","   908","2.408365e-05","DOWN",0.126696832579186
"RPL36AL","-0.025910690","6.684569e-03","  5133","3.545919e-02","DOWN",0.127828054298643
"DYNLT1","-0.025819100","2.032682e-05","  1837","4.468978e-04","DOWN",0.1289592760181
"SOD1","-0.025742991","7.311367e-05","  5836","1.200934e-03","DOWN",0.130090497737557
"SMDT1","-0.025545205","6.727780e-07","  2867","3.668278e-05","DOWN",0.131221719457014
"SUMO2","-0.025357752","2.315801e-05","  1693","4.913134e-04","DOWN",0.132352941176471
"RPL18","-0.025315576","2.775443e-03","  8498","1.870571e-02","DOWN",0.133484162895928
"SLTM","-0.025254915","3.733059e-04","  3126","4.176358e-03","DOWN",0.134615384615385
"SUCLG1","-0.025037190","2.640521e-07","  2388","1.845803e-05","DOWN",0.135746606334842
"H2AFJ","-0.024737679","1.644488e-06","   856","6.897280e-05","DOWN",0.136877828054299
"ASPH","-0.024702733","7.883659e-06","  2062","2.076576e-04","DOWN",0.138009049773756
"BAZ2B","-0.024166500","4.509975e-08","  1785","5.464520e-06","DOWN",0.139140271493213
"EHF","-0.024159255","1.061108e-04","   371","1.625174e-03","DOWN",0.14027149321267
"APLP2","-0.024151146","3.103252e-04","  5163","3.670343e-03","DOWN",0.141402714932127
"IFI30","-0.023901716","3.252440e-06","   670","1.103301e-04","DOWN",0.142533936651584
"KRTCAP2","-0.023502801","7.525786e-06","  2463","1.991935e-04","DOWN",0.143665158371041
"LLGL2","-0.023437021","4.421881e-07","  1046","2.708990e-05","DOWN",0.144796380090498
"SLC7A2","-0.023409472","1.671621e-07","  1703","1.340354e-05","DOWN",0.145927601809955
"CLTA","-0.023264650","1.940629e-04","  3321","2.501455e-03","DOWN",0.147058823529412
"ZNF706","-0.023213959","2.867827e-07","  1602","1.979321e-05","DOWN",0.148190045248869
"EEF1B2","-0.023125027","4.922842e-08","  1867","5.835103e-06","DOWN",0.149321266968326
"KCNMA1","-0.023064894","6.478075e-05","  1048","1.090163e-03","DOWN",0.150452488687783
"RPSA","-0.022959324","5.472937e-04","  1951","5.486620e-03","DOWN",0.15158371040724
"NDUFA7","-0.022903567","2.177664e-06","  2355","8.466656e-05","DOWN",0.152714932126697
"NUPR1","-0.022855229","1.036916e-04","   264","1.601620e-03","DOWN",0.153846153846154
"CD82","-0.022706821","5.745124e-08","   547","6.392839e-06","DOWN",0.154977375565611
"CALM3","-0.022581712","1.220848e-07","  1565","1.091244e-05","DOWN",0.156108597285068
"PRDX5","-0.022532148","5.540163e-04","  5051","5.516788e-03","DOWN",0.157239819004525
"SMC3","-0.022240518","3.777690e-06","  2172","1.183770e-04","DOWN",0.158371040723982
"KRT8","-0.022084162","3.641579e-05","  1171","7.116656e-04","DOWN",0.159502262443439
"UBXN4","-0.021971875","1.437517e-04","  5623","1.999482e-03","DOWN",0.160633484162896
"C12orf75","-0.021871785","1.274100e-07","  1926","1.120475e-05","DOWN",0.161764705882353
"CYB5A","-0.021774190","3.762300e-06","  1369","1.183770e-04","DOWN",0.16289592760181
"CNBP","-0.021732224","4.542520e-03","  4116","2.686311e-02","DOWN",0.164027149321267
"ATP5G3","-0.021482066","3.680655e-04","  4073","4.137840e-03","DOWN",0.165158371040724
"SQSTM1","-0.021327089","2.723303e-03","  4061","1.846845e-02","DOWN",0.166289592760181
"CD164","-0.021316715","1.907270e-04","  2466","2.464281e-03","DOWN",0.167420814479638
"NGFRAP1","-0.021304058","3.218221e-03","  6166","2.091435e-02","DOWN",0.168552036199095
"COX6B1","-0.021202369","1.524648e-03","  3362","1.177485e-02","DOWN",0.169683257918552
"PFKFB2","-0.021078080","2.559691e-06","  1321","9.625204e-05","DOWN",0.170814479638009
"ZCRB1","-0.021048678","5.682624e-06","  2951","1.613757e-04","DOWN",0.171945701357466
"NDUFB7","-0.021020725","3.842829e-07","  1915","2.408365e-05","DOWN",0.173076923076923
"HIST1H1E","-0.020996076","6.937813e-07","   546","3.708624e-05","DOWN",0.17420814479638
"SCARB2","-0.020973292","1.979565e-04","  2022","2.545625e-03","DOWN",0.175339366515837
"ABCC8","-0.020946926","2.137567e-04","  3610","2.735902e-03","DOWN",0.176470588235294
"CAPZB","-0.020946007","1.317005e-04","  2122","1.884746e-03","DOWN",0.177601809954751
"ITGB1","-0.020937241","1.565011e-06","  2130","6.614821e-05","DOWN",0.178733031674208
"ATRX","-0.020735164","5.823214e-06","  1293","1.645113e-04","DOWN",0.179864253393665
"TMEM258","-0.020679927","8.263652e-03","  2711","4.077161e-02","DOWN",0.180995475113122
"COX7B","-0.020678043","2.132207e-05","  1324","4.577055e-04","DOWN",0.182126696832579
"CSTB","-0.020598177","6.024317e-04","  3588","5.801990e-03","DOWN",0.183257918552036
"SYT1","-0.020574161","1.750442e-04","   270","2.318134e-03","DOWN",0.184389140271493
"FIS1","-0.020472181","6.707604e-05","  1629","1.121864e-03","DOWN",0.18552036199095
"KAT6B","-0.020417603","1.012257e-08","  1658","2.044172e-06","DOWN",0.186651583710407
"MGST3","-0.020272478","8.935214e-06","  2567","2.308942e-04","DOWN",0.187782805429864
"MRFAP1","-0.020029607","5.070972e-03","  3372","2.904321e-02","DOWN",0.188914027149321
"AP3B1","-0.019809225","1.932504e-06","  2369","7.838135e-05","DOWN",0.190045248868778
"PTPN11","-0.019752630","4.134464e-08","  1742","5.242534e-06","DOWN",0.191176470588235
"PPP1R9A","-0.019572336","1.520775e-08","   834","2.591227e-06","DOWN",0.192307692307692
"SCAND1","-0.019470291","1.781178e-04","  2131","2.344088e-03","DOWN",0.193438914027149
"SEPW1","-0.019356603","1.384842e-03","  2816","1.097494e-02","DOWN",0.194570135746606
"PDE4DIP","-0.019314652","4.724207e-04","  1616","4.906367e-03","DOWN",0.195701357466063
"YWHAB","-0.019233568","1.248240e-04","  4271","1.823285e-03","DOWN",0.19683257918552
"CDC42BPA","-0.019169273","3.972396e-06","  1378","1.230638e-04","DOWN",0.197963800904977
"DDX46","-0.019150490","5.660773e-07","  2114","3.248946e-05","DOWN",0.199095022624434
"HMGN5","-0.019104638","1.009657e-05","  1584","2.536558e-04","DOWN",0.200226244343891
"GINM1","-0.019030895","1.546971e-05","  1168","3.544017e-04","DOWN",0.201357466063348
"TRIP11","-0.018811783","3.753280e-06","  1611","1.183770e-04","DOWN",0.202488687782805
"HNRNPR","-0.018704351","6.337311e-05","  2548","1.076441e-03","DOWN",0.203619909502262
"RPN2","-0.018620441","2.927510e-03","  2231","1.947024e-02","DOWN",0.204751131221719
"FNBP1L","-0.018610169","2.549873e-05","  1310","5.347314e-04","DOWN",0.205882352941176
"COX5B","-0.018498179","1.191168e-03","  3650","9.766562e-03","DOWN",0.207013574660633
"PRPF38B","-0.018363470","6.438279e-05","  1548","1.090163e-03","DOWN",0.208144796380091
"TMF1","-0.018180501","2.092425e-06","  1914","8.267254e-05","DOWN",0.209276018099548
"TMED6","-0.018180147","1.315780e-08","   498","2.458309e-06","DOWN",0.210407239819005
"RBX1","-0.018049944","2.042654e-05","  1927","4.472867e-04","DOWN",0.211538461538462
"GOLGB1","-0.018015420","9.988173e-03","  3504","4.642784e-02","DOWN",0.212669683257919
"SNRPD3","-0.017985561","1.341415e-07","  1477","1.142809e-05","DOWN",0.213800904977376
"CLGN","-0.017846447","3.753724e-06","  1493","1.183770e-04","DOWN",0.214932126696833
"HEPACAM2","-0.017839906","4.743577e-05","   897","8.592705e-04","DOWN",0.21606334841629
"NDUFB8","-0.017726606","5.599151e-05","  3516","9.691746e-04","DOWN",0.217194570135747
"MRLN","-0.017588319","1.321298e-04","  1309","1.885940e-03","DOWN",0.218325791855204
"TMEM14B","-0.017505135","7.903504e-05","  1390","1.272665e-03","DOWN",0.219457013574661
"SEC61G","-0.017500415","6.344498e-07","  2031","3.566284e-05","DOWN",0.220588235294118
"SEPP1","-0.017466554","6.791668e-05","   758","1.132450e-03","DOWN",0.221719457013575
"RBM23","-0.017464113","2.581457e-06","  1074","9.640565e-05","DOWN",0.222850678733032
"HMGB1","-0.017426025","1.069667e-06","  1469","4.997403e-05","DOWN",0.223981900452489
"NR3C1","-0.017264320","2.963601e-07","  1184","2.018747e-05","DOWN",0.225113122171946
"WASL","-0.017200410","6.166420e-06","  1439","1.706700e-04","DOWN",0.226244343891403
"RFK","-0.017090707","3.537909e-05","  1235","6.938926e-04","DOWN",0.22737556561086
"MRPL57","-0.017084949","3.240833e-05","  2164","6.472685e-04","DOWN",0.228506787330317
"NDUFS5","-0.016826169","2.928159e-03","  3469","1.947024e-02","DOWN",0.229638009049774
"ATP6V1D","-0.016780508","3.956653e-05","  2994","7.569610e-04","DOWN",0.230769230769231
"MINOS1","-0.016769898","9.073150e-05","  2151","1.425670e-03","DOWN",0.231900452488688
"CEP350","-0.016682470","1.366011e-06","  1011","5.958470e-05","DOWN",0.233031674208145
"LMAN1","-0.016600040","8.597635e-03","  3411","4.185539e-02","DOWN",0.234162895927602
"ROBO2","-0.016534228","2.117698e-07","  1331","1.553271e-05","DOWN",0.235294117647059
"TMSB10","-0.016392596","4.261673e-03","  3397","2.587583e-02","DOWN",0.236425339366516
"FXYD3","-0.016363970","1.829857e-05","   260","4.122800e-04","DOWN",0.237556561085973
"OPTN","-0.016314480","5.167838e-08","  1740","5.995169e-06","DOWN",0.23868778280543
"IMPA2","-0.016290979","5.560433e-04","   184","5.522385e-03","DOWN",0.239819004524887
"RPL28","-0.016162681","6.818192e-04","  2521","6.431789e-03","DOWN",0.240950226244344
"TRMT112","-0.016094404","2.250798e-04","  2279","2.847408e-03","DOWN",0.242081447963801
"CRYBA2","-0.015971091","4.544476e-05","  1310","8.339006e-04","DOWN",0.243212669683258
"VPS37A","-0.015871288","1.209286e-05","   880","2.891910e-04","DOWN",0.244343891402715
"SHTN1","-0.015862040","1.220626e-04","  1802","1.794598e-03","DOWN",0.245475113122172
"LCORL","-0.015856680","1.426278e-05","   786","3.300880e-04","DOWN",0.246606334841629
"H1F0","-0.015765768","4.557641e-05","  1321","8.339006e-04","DOWN",0.247737556561086
"PGRMC1","-0.015722459","1.500291e-04","  1232","2.070947e-03","DOWN",0.248868778280543
"PRPF40A","-0.015700872","7.128306e-04","  2128","6.621230e-03","DOWN",0.25
"PCLO","-0.015649405","1.219465e-04","  1586","1.794598e-03","DOWN",0.251131221719457
"ARL6IP1","-0.015519053","1.109921e-04","  2723","1.690438e-03","DOWN",0.252262443438914
"MRPL21","-0.015426532","8.954202e-05","  1133","1.411046e-03","DOWN",0.253393665158371
"FAM105A","-0.015402664","2.856126e-04","  1336","3.452957e-03","DOWN",0.254524886877828
"NPTN","-0.015371587","2.765083e-05","   875","5.776411e-04","DOWN",0.255656108597285
"ANKRD11","-0.015345986","4.506048e-04","  1266","4.770667e-03","DOWN",0.256787330316742
"CHMP2A","-0.015330707","1.350423e-04","  2632","1.902607e-03","DOWN",0.257918552036199
"KRT18","-0.015303622","3.845065e-04","  1010","4.247594e-03","DOWN",0.259049773755656
"SRPRA","-0.015278088","2.385239e-04","  1982","2.976055e-03","DOWN",0.260180995475113
"SRSF3","-0.015271571","6.929993e-04","  1813","6.514712e-03","DOWN",0.26131221719457
"RAD21","-0.015121493","7.748896e-04","  2924","7.053480e-03","DOWN",0.262443438914027
"STARD10","-0.015063904","1.204444e-06","   558","5.456582e-05","DOWN",0.263574660633484
"H2AFV","-0.015048018","3.768396e-05","  1113","7.312075e-04","DOWN",0.264705882352941
"GUK1","-0.014986075","3.215229e-03","  4580","2.091435e-02","DOWN",0.265837104072398
"REXO2","-0.014936310","4.934369e-05","   999","8.850106e-04","DOWN",0.266968325791855
"C12orf57","-0.014820355","8.852812e-05","  1734","1.403179e-03","DOWN",0.268099547511312
"EEA1","-0.014799954","4.256676e-05","   899","8.003188e-04","DOWN",0.269230769230769
"ACAA2","-0.014794366","2.983128e-04","  1268","3.566954e-03","DOWN",0.270361990950226
"ZFAND6","-0.014792903","9.309876e-06","  1442","2.372032e-04","DOWN",0.271493212669683
"METTL5","-0.014713368","1.187957e-04","  1487","1.769743e-03","DOWN",0.27262443438914
"PSMB6","-0.014705376","1.015112e-04","  2347","1.576875e-03","DOWN",0.273755656108597
"UPF3A","-0.014658612","1.134541e-04","   812","1.708842e-03","DOWN",0.274886877828054
"SENP6","-0.014619934","1.033299e-05","  1614","2.537835e-04","DOWN",0.276018099547511
"TMEM141","-0.014435345","1.575636e-07","  1044","1.282246e-05","DOWN",0.277149321266968
"HTATSF1","-0.014408853","2.579030e-03","  1609","1.768046e-02","DOWN",0.278280542986425
"CALB2","-0.014359405","2.375427e-04","   132","2.973477e-03","DOWN",0.279411764705882
"SMARCA5","-0.014330625","7.915148e-04","  2362","7.161532e-03","DOWN",0.280542986425339
"PXK","-0.014330094","2.033190e-06","   290","8.091850e-05","DOWN",0.281674208144796
"PTTG1IP","-0.014324349","7.447106e-05","  2118","1.216518e-03","DOWN",0.282805429864253
"HDAC2","-0.014308048","1.444872e-06","  1750","6.252437e-05","DOWN",0.28393665158371
"MTSS1","-0.014216485","1.343340e-05","   897","3.163167e-04","DOWN",0.285067873303167
"ZC3H13","-0.014214960","3.392399e-03","  2669","2.186387e-02","DOWN",0.286199095022624
"SRSF4","-0.014191519","1.985494e-06","  1134","7.960128e-05","DOWN",0.287330316742081
"NDUFB3","-0.014167792","1.289489e-04","  1354","1.863871e-03","DOWN",0.288461538461538
"HIGD1A","-0.014108767","3.926921e-04","   816","4.308104e-03","DOWN",0.289592760180996
"SOAT1","-0.014064044","9.820167e-05","   540","1.534207e-03","DOWN",0.290723981900453
"ROCK2","-0.014061458","4.382632e-05","   656","8.155636e-04","DOWN",0.29185520361991
"HACD3","-0.014054241","7.671204e-04","  3650","7.006153e-03","DOWN",0.292986425339367
"LARP1B","-0.013987172","4.981646e-06","  1316","1.484265e-04","DOWN",0.294117647058824
"RSRC1","-0.013985581","9.740849e-04","  1266","8.354414e-03","DOWN",0.295248868778281
"VPS29","-0.013928494","8.936699e-04","  1424","7.871851e-03","DOWN",0.296380090497738
"EBAG9","-0.013911495","6.041257e-04","  1778","5.801990e-03","DOWN",0.297511312217195
"PHF3","-0.013864356","1.408588e-04","  1394","1.969291e-03","DOWN",0.298642533936652
"THOC2","-0.013832723","1.437011e-03","  2142","1.128992e-02","DOWN",0.299773755656109
"TMEM160","-0.013828892","2.674787e-06","   721","9.921155e-05","DOWN",0.300904977375566
"BCLAF1","-0.013746599","4.349502e-03","  2371","2.617591e-02","DOWN",0.302036199095023
"NDUFAF3","-0.013741650","2.270651e-04","  1701","2.865874e-03","DOWN",0.30316742081448
"UQCC2","-0.013738956","1.155349e-06","   970","5.293667e-05","DOWN",0.304298642533937
"VAMP8","-0.013731000","9.139168e-07","   921","4.530065e-05","DOWN",0.305429864253394
"NUDC","-0.013718092","3.086194e-04","  2462","3.658107e-03","DOWN",0.306561085972851
"NDUFS8","-0.013716579","3.431697e-04","  1418","3.947490e-03","DOWN",0.307692307692308
"PSMG2","-0.013694038","4.849525e-04","   987","4.983554e-03","DOWN",0.308823529411765
"UQCR10","-0.013681147","7.036667e-04","  2230","6.580954e-03","DOWN",0.309954751131222
"GRB2","-0.013656552","7.787297e-04","  1574","7.076621e-03","DOWN",0.311085972850679
"RB1CC1","-0.013632315","6.464068e-04","   925","6.150943e-03","DOWN",0.312217194570136
"RBM47","-0.013554665","4.058743e-04","   714","4.408860e-03","DOWN",0.313348416289593
"WDR83OS","-0.013531844","1.035623e-03","  2993","8.754525e-03","DOWN",0.31447963800905
"NDUFB11","-0.013526608","1.328291e-04","  1708","1.890971e-03","DOWN",0.315610859728507
"JMJD1C","-0.013507364","1.072358e-06","  1265","4.997403e-05","DOWN",0.316742081447964
"LAMTOR5","-0.013392410","1.833819e-03","  2828","1.354476e-02","DOWN",0.317873303167421
"MAP1LC3B","-0.013391830","5.029163e-03","  1932","2.883405e-02","DOWN",0.319004524886878
"RWDD1","-0.013353904","5.544680e-04","  2134","5.516788e-03","DOWN",0.320135746606335
"COA3","-0.013338922","5.297377e-07","  1531","3.105764e-05","DOWN",0.321266968325792
"DNAJC10","-0.013335032","2.140695e-06","  1230","8.397123e-05","DOWN",0.322398190045249
"TOP1","-0.013177469","3.395556e-05","  1196","6.683771e-04","DOWN",0.323529411764706
"NBEAL1","-0.013144109","7.007513e-06","   339","1.891485e-04","DOWN",0.324660633484163
"TSTD1","-0.013130899","2.888460e-04","  2589","3.477670e-03","DOWN",0.32579185520362
"NPTX2","-0.013108538","5.845258e-03","  2544","3.238911e-02","DOWN",0.326923076923077
"C1D","-0.013088903","9.937180e-04","  1162","8.452702e-03","DOWN",0.328054298642534
"SMIM19","-0.013074767","4.768573e-04","   887","4.933649e-03","DOWN",0.329185520361991
"MIR7-3HG","-0.013039900","1.850428e-03","  3148","1.359749e-02","DOWN",0.330316742081448
"PLAGL1","-0.012968796","5.530016e-04","   566","5.516788e-03","DOWN",0.331447963800905
