"","slope.pseudo.index","p.pseudo.index","Transcripts","qvalue","feature","rank"
"RHOBTB3"," 0.025728886","3.540037e-06","  2458","1.164479e-04","UP",0.230263157894737
"CIB1"," 0.025659088","3.377547e-05","  1056","6.672410e-04","UP",0.233552631578947
"ATP6V1G1"," 0.025442634","4.383997e-03","  8370","2.629643e-02","UP",0.236842105263158
"SIX3"," 0.023877438","1.428734e-05","   527","3.300880e-04","UP",0.240131578947368
"VKORC1"," 0.023457375","9.986664e-05","  3259","1.555761e-03","UP",0.243421052631579
"XIST"," 0.023035136","5.092057e-06","   461","1.500763e-04","UP",0.246710526315789
"CDKN1C"," 0.022800256","3.578746e-07","  1321","2.322962e-05","UP",0.25
"GLTSCR2"," 0.022430528","1.275669e-06","  2125","5.701232e-05","UP",0.253289473684211
"PKM"," 0.022090220","5.226027e-03","  2391","2.978190e-02","UP",0.256578947368421
"ALCAM"," 0.021477779","4.690339e-05","  3148","8.553098e-04","UP",0.259868421052632
"BHLHE40"," 0.021349775","7.907755e-05","   664","1.272665e-03","UP",0.263157894736842
"VEGFA"," 0.021312143","3.545271e-06","  2425","1.164479e-04","UP",0.266447368421053
"PRDX2"," 0.021275108","1.207423e-07","  1648","1.091244e-05","UP",0.269736842105263
"BNIP3L"," 0.020969587","2.326748e-05","  2140","4.917225e-04","UP",0.273026315789474
"ITM2C"," 0.020868604","3.570649e-08","  1772","4.805590e-06","UP",0.276315789473684
"ZNF395"," 0.020573837","2.518103e-04","   996","3.099275e-03","UP",0.279605263157895
"FAM162A"," 0.020461240","7.870969e-07","  1485","4.166596e-05","UP",0.282894736842105
"LAPTM4B"," 0.020379183","6.691179e-06","   676","1.824161e-04","UP",0.286184210526316
"PTPRN"," 0.020232012","1.151713e-03","  5158","9.587237e-03","UP",0.289473684210526
"GRN"," 0.020178530","1.460040e-04","  2468","2.020500e-03","UP",0.292763157894737
"NEFM"," 0.020078069","5.971155e-09","   765","1.479879e-06","UP",0.296052631578947
"LSAMP"," 0.019699845","1.570571e-09","   682","6.587259e-07","UP",0.299342105263158
"TSPAN13"," 0.019607614","1.133490e-05","  1868","2.759053e-04","UP",0.302631578947368
"CITED2"," 0.019513293","5.751629e-04","   627","5.640356e-03","UP",0.305921052631579
"GPSM1"," 0.018888230","5.277015e-05","   520","9.311513e-04","UP",0.309210526315789
"LGMN"," 0.018838674","3.048332e-05","   980","6.133148e-04","UP",0.3125
"PRDX4"," 0.018735859","1.907230e-03","  2769","1.392108e-02","UP",0.315789473684211
"INSIG1"," 0.017868325","1.252552e-05","  1280","2.969330e-04","UP",0.319078947368421
"MAP1LC3A"," 0.017803205","9.197326e-10","  1262","4.558892e-07","UP",0.322368421052632
"PGRMC2"," 0.017788937","6.891347e-07","  2016","3.708624e-05","UP",0.325657894736842
"NPDC1"," 0.017777002","4.930267e-03","  2057","2.841644e-02","UP",0.328947368421053
"CCND2"," 0.017543529","2.103240e-09","   695","8.191268e-07","UP",0.332236842105263
"G3BP1"," 0.017538292","8.898286e-08","  1430","8.497076e-06","UP",0.335526315789474
"SEZ6L2"," 0.017360110","1.432726e-04","  1786","1.997914e-03","UP",0.338815789473684
"TMED3"," 0.017204760","4.300283e-04","  1611","4.606485e-03","UP",0.342105263157895
"EIF3L"," 0.017057895","2.083511e-07","  1866","1.553271e-05","UP",0.345394736842105
"PON3"," 0.016905026","1.003263e-05","   625","2.532513e-04","UP",0.348684210526316
"PLK2"," 0.016898508","5.438300e-06","   530","1.575663e-04","UP",0.351973684210526
"HOPX"," 0.016743203","1.923050e-06","   985","7.838135e-05","UP",0.355263157894737
"HSD17B12"," 0.016406589","1.891942e-04","  1863","2.450283e-03","UP",0.358552631578947
"GPX4"," 0.016246523","1.165761e-03","  4892","9.645270e-03","UP",0.361842105263158
"PIGY"," 0.016106603","6.955317e-06","  1950","1.886737e-04","UP",0.365131578947368
"NDFIP1"," 0.016092658","1.718588e-03","  2916","1.283198e-02","UP",0.368421052631579
"ADCYAP1"," 0.015611956","3.183268e-05","  1608","6.381088e-04","UP",0.371710526315789
"EDIL3"," 0.015603713","1.648681e-05","   432","3.761224e-04","UP",0.375
"TPPP3"," 0.015588479","8.796312e-04","   593","7.785927e-03","UP",0.378289473684211
"LIMCH1"," 0.015338127","7.264716e-05","  1847","1.200315e-03","UP",0.381578947368421
"IGFBP7"," 0.015316521","4.480713e-03","  1757","2.660388e-02","UP",0.384868421052632
"SIL1"," 0.015262324","8.680454e-07","  1267","4.382371e-05","UP",0.388157894736842
"ATP6V0C"," 0.015251129","5.869337e-04","  3596","5.724896e-03","UP",0.391447368421053
"CSDE1"," 0.015168623","6.682422e-04","  4665","6.314639e-03","UP",0.394736842105263
"RHBDD2"," 0.015163720","6.913578e-05","  1091","1.145770e-03","UP",0.398026315789474
"LAMP1"," 0.014858543","4.442551e-06","  1382","1.351335e-04","UP",0.401315789473684
"WBP5"," 0.014741679","1.943878e-05","  1832","4.308482e-04","UP",0.404605263157895
"CRIP2"," 0.014551499","5.606175e-06","  1022","1.600382e-04","UP",0.407894736842105
"MDH2"," 0.014509296","3.568636e-04","  1958","4.036878e-03","UP",0.411184210526316
"VAMP2"," 0.014405103","4.838537e-04","  1665","4.983554e-03","UP",0.414473684210526
"NOL3"," 0.014372356","3.847155e-04","   635","4.247594e-03","UP",0.417763157894737
"NAPA"," 0.014371096","2.921330e-04","  1953","3.508449e-03","UP",0.421052631578947
"BTF3"," 0.014274343","1.510761e-03","  4327","1.170075e-02","UP",0.424342105263158
"LOC728392"," 0.014206756","3.086198e-04","  1297","3.658107e-03","UP",0.427631578947368
"IFI6"," 0.014169734","1.869761e-03","  2511","1.371347e-02","UP",0.430921052631579
"GNG4"," 0.014065099","8.661555e-03","  2616","4.197542e-02","UP",0.434210526315789
"GPI"," 0.014049561","5.870778e-03","  1201","3.244163e-02","UP",0.4375
"LGALS3BP"," 0.014044019","3.926360e-03","  1705","2.438294e-02","UP",0.440789473684211
"TMEM37"," 0.013868862","1.090183e-03","  1405","9.173069e-03","UP",0.444078947368421
"KDELR1"," 0.013824601","4.208411e-03","  3647","2.572431e-02","UP",0.447368421052632
"GHITM"," 0.013742817","3.209216e-03","  2246","2.090566e-02","UP",0.450657894736842
"ATP6AP1"," 0.013727890","2.864047e-03","  2007","1.916077e-02","UP",0.453947368421053
"C4orf3"," 0.013551511","2.979649e-03","  2036","1.971493e-02","UP",0.457236842105263
"SET"," 0.013531914","1.816579e-05","  1822","4.109867e-04","UP",0.460526315789474
"NAA20"," 0.013495356","1.422385e-03","  2316","1.119114e-02","UP",0.463815789473684
"SCD5"," 0.013454375","4.847267e-04","  1290","4.983554e-03","UP",0.467105263157895
"APMAP"," 0.013217402","1.295115e-04","   863","1.863871e-03","UP",0.470394736842105
"MIR4458HG"," 0.012934662","2.203915e-03","   902","1.560610e-02","UP",0.473684210526316
"FXYD6"," 0.012878576","7.284329e-06","   502","1.946928e-04","UP",0.476973684210526
"VDAC2"," 0.012827026","4.233171e-05","  1145","7.986535e-04","UP",0.480263157894737
"YWHAH"," 0.012822793","1.204519e-04","  1527","1.786990e-03","UP",0.483552631578947
"TMCO1"," 0.012773945","3.823099e-03","  2162","2.396406e-02","UP",0.486842105263158
"ADM"," 0.012602919","4.421864e-03","   379","2.634964e-02","UP",0.490131578947368
"HSF4"," 0.012500198","1.530646e-04","   757","2.096922e-03","UP",0.493421052631579
"GPM6A"," 0.012466348","7.518792e-08","   549","7.453767e-06","UP",0.496710526315789
"RSL24D1"," 0.012389497","5.845272e-05","  1358","1.005393e-03","UP",0.5
"BEX4"," 0.012345740","6.997747e-04","  2197","6.555799e-03","UP",0.503289473684211
"PDCD4"," 0.012302902","7.312513e-05","  1624","1.200934e-03","UP",0.506578947368421
"PLP2"," 0.012214952","4.574491e-07","  1318","2.740892e-05","UP",0.509868421052632
"RBM3"," 0.012110522","1.449670e-03","  1527","1.133794e-02","UP",0.513157894736842
"TSPAN1"," 0.012048733","7.491702e-03","  1714","3.824720e-02","UP",0.516447368421053
"RRAGA"," 0.011985959","4.941884e-04","  1264","5.036504e-03","UP",0.519736842105263
"DARS"," 0.011934325","1.392661e-04","  1560","1.952028e-03","UP",0.523026315789474
"DNAJB1"," 0.011833312","1.693901e-03","   636","1.277439e-02","UP",0.526315789473684
"FAM127A"," 0.011793614","5.415546e-04","  1135","5.458024e-03","UP",0.529605263157895
"TBC1D22A"," 0.011766695","7.489452e-06","   604","1.991935e-04","UP",0.532894736842105
"MAP2"," 0.011541390","2.825142e-04","  1326","3.423090e-03","UP",0.536184210526316
"HNRNPA0"," 0.011218616","1.375077e-03","  1043","1.092933e-02","UP",0.539473684210526
"PPY"," 0.011142357","2.493804e-03","   487","1.725546e-02","UP",0.542763157894737
"TMEM176B"," 0.011131267","2.447398e-03","   867","1.697745e-02","UP",0.546052631578947
"NDRG1"," 0.011086217","1.051445e-06","   454","4.997403e-05","UP",0.549342105263158
"SNHG7"," 0.011072079","1.625204e-03","  1999","1.239345e-02","UP",0.552631578947368
"HADHA"," 0.010964357","4.292956e-04","  2290","4.606485e-03","UP",0.555921052631579
"SYT7"," 0.010820813","7.713637e-04","  1577","7.033127e-03","UP",0.559210526315789
"MORF4L1"," 0.010752222","5.410311e-03","  2761","3.066462e-02","UP",0.5625
"ADGRG1"," 0.010708061","8.160788e-04","  1092","7.318448e-03","UP",0.565789473684211
"CKB"," 0.010654521","1.291717e-03","  1129","1.040024e-02","UP",0.569078947368421
"P2RY1"," 0.010577759","3.443834e-04","   389","3.953111e-03","UP",0.572368421052632
"CYP51A1"," 0.010304487","7.119571e-03","  2339","3.707640e-02","UP",0.575657894736842
"RBMX"," 0.010290412","7.495490e-05","  1282","1.219960e-03","UP",0.578947368421053
"MYDGF"," 0.010278159","8.966695e-03","  1741","4.287876e-02","UP",0.582236842105263
"TKT"," 0.010118663","3.402358e-03","  1228","2.190217e-02","UP",0.585526315789474
"SLC22A17"," 0.010038717","1.745374e-04","   767","2.318134e-03","UP",0.588815789473684
"CSNK1A1"," 0.009902044","6.025923e-03","  2446","3.292179e-02","UP",0.592105263157895
"KLC1"," 0.009781331","2.297420e-06","   861","8.759812e-05","UP",0.595394736842105
"SEC11A"," 0.009768813","6.284161e-03","  1903","3.389117e-02","UP",0.598684210526316
"U2AF1"," 0.009742675","9.343063e-04","  1370","8.098956e-03","UP",0.601973684210526
"RGS2"," 0.009687391","2.999000e-07","   463","2.018747e-05","UP",0.605263157894737
"HNRNPK"," 0.009659672","8.848239e-03","  2321","4.246870e-02","UP",0.608552631578947
"DUSP1"," 0.009615367","1.348548e-04","   766","1.902607e-03","UP",0.611842105263158
"AGPAT2"," 0.009612552","1.846585e-03","   533","1.359749e-02","UP",0.615131578947368
"CRYZ"," 0.009549216","1.023475e-05","   525","2.536559e-04","UP",0.618421052631579
"CEBPD"," 0.009517229","2.978430e-05","   257","6.014702e-04","UP",0.621710526315789
"PSMC3"," 0.009380376","1.301080e-03","  1215","1.043243e-02","UP",0.625
"ABHD12"," 0.009270363","3.916779e-05","   497","7.519712e-04","UP",0.628289473684211
"CD320"," 0.009240875","1.820287e-04","   827","2.380095e-03","UP",0.631578947368421
"REC8"," 0.009226303","6.412108e-06","   394","1.765737e-04","UP",0.634868421052632
"JTB"," 0.009122707","5.172036e-03","  2413","2.959096e-02","UP",0.638157894736842
"DDX1"," 0.009093831","2.405413e-03","  1537","1.675014e-02","UP",0.641447368421053
"CAPN13"," 0.009088178","3.830214e-05","   556","7.389871e-04","UP",0.644736842105263
"PLEKHM2"," 0.009050601","1.755893e-04","   518","2.318134e-03","UP",0.648026315789474
"LINC01099"," 0.009013866","1.530225e-04","   481","2.096922e-03","UP",0.651315789473684
"AES"," 0.009007436","4.667741e-04","   901","4.894337e-03","UP",0.654605263157895
"MIR210HG"," 0.008976273","1.703300e-03","   251","1.279219e-02","UP",0.657894736842105
"GADD45A"," 0.008966178","5.378945e-06","   827","1.571448e-04","UP",0.661184210526316
"SLC6A6"," 0.008864735","4.364599e-03","   631","2.623781e-02","UP",0.664473684210526
"TRAPPC1"," 0.008846802","7.946650e-05","   983","1.274370e-03","UP",0.667763157894737
"CCND1"," 0.008824200","8.628395e-07","   441","4.382371e-05","UP",0.671052631578947
"PRMT1"," 0.008778792","2.229879e-04","   371","2.840248e-03","UP",0.674342105263158
"SLC18A2"," 0.008673303","5.209480e-05","   327","9.222191e-04","UP",0.677631578947368
"NGRN"," 0.008324476","8.497233e-03","  1929","4.155211e-02","UP",0.680921052631579
"KLF10"," 0.008301749","5.520821e-03","   601","3.100094e-02","UP",0.684210526315789
"SDC2"," 0.008204116","6.080126e-05","   831","1.035984e-03","UP",0.6875
"SMIM24"," 0.008192166","6.837651e-04","   432","6.439006e-03","UP",0.690789473684211
"PDK4"," 0.008087105","7.215306e-04","   416","6.667962e-03","UP",0.694078947368421
"TSHZ2"," 0.008040888","8.624343e-06","   307","2.239222e-04","UP",0.697368421052632
"CDCP1"," 0.008020537","1.634298e-04","   785","2.205668e-03","UP",0.700657894736842
"LINC00643"," 0.008004627","5.319259e-03","   645","3.024287e-02","UP",0.703947368421053
"HSPH1"," 0.007993382","2.259862e-03","  1110","1.596081e-02","UP",0.707236842105263
"CDKN2A"," 0.007946268","9.217445e-05","   315","1.444181e-03","UP",0.710526315789474
"TBCB"," 0.007873289","6.477898e-03","  1710","3.472991e-02","UP",0.713815789473684
"GNB2"," 0.007857827","4.232073e-03","   969","2.578223e-02","UP",0.717105263157895
"COPS6"," 0.007848955","1.905469e-03","  1286","1.392108e-02","UP",0.720394736842105
"IDI1"," 0.007817698","4.702028e-03","  1174","2.753759e-02","UP",0.723684210526316
"SLC25A1"," 0.007742397","4.296775e-03","   629","2.600209e-02","UP",0.726973684210526
"ATP5J2"," 0.007724762","9.930081e-03","   767","4.623664e-02","UP",0.730263157894737
"TMEM176A"," 0.007642882","1.149014e-03","   483","9.579392e-03","UP",0.733552631578947
"GRINA"," 0.007636929","2.739772e-03","   564","1.851106e-02","UP",0.736842105263158
"PVRL3"," 0.007435984","1.021160e-03","   533","8.672595e-03","UP",0.740131578947368
"CCDC181"," 0.007345148","1.697546e-04","   407","2.274143e-03","UP",0.743421052631579
"ECI1"," 0.007339551","3.040278e-06","   468","1.083459e-04","UP",0.746710526315789
"CBX3"," 0.007337480","8.064423e-03","   894","3.997340e-02","UP",0.75
"SAFB2"," 0.007213654","9.017043e-04","  1561","7.878979e-03","UP",0.753289473684211
"PNMA2"," 0.007185303","1.421632e-03","   820","1.119114e-02","UP",0.756578947368421
"MAN1A1"," 0.007091544","3.053234e-04","   684","3.634838e-03","UP",0.759868421052632
"ENDOD1"," 0.007052086","1.966902e-03","   448","1.428275e-02","UP",0.763157894736842
"C9orf135"," 0.007026099","3.045981e-04","   273","3.634138e-03","UP",0.766447368421053
"C21orf58"," 0.006997508","7.424770e-03","  1176","3.801227e-02","UP",0.769736842105263
"ERO1A"," 0.006990031","8.339129e-03","   420","4.099960e-02","UP",0.773026315789474
"CFAP36"," 0.006985779","8.337718e-03","  2239","4.099960e-02","UP",0.776315789473684
"FADS2"," 0.006981354","2.008793e-04","   492","2.577133e-03","UP",0.779605263157895
"OTUD6B-AS1"," 0.006922441","8.100134e-03","  1469","4.007754e-02","UP",0.782894736842105
"GPX2"," 0.006920264","9.101961e-03","   429","4.326752e-02","UP",0.786184210526316
"SNRNP70"," 0.006901134","1.362918e-04","   882","1.915263e-03","UP",0.789473684210526
"SEPT11"," 0.006805983","4.318443e-04","   829","4.607832e-03","UP",0.792763157894737
"TMEM159"," 0.006733907","2.350138e-03","   240","1.647041e-02","UP",0.796052631578947
"APEX1"," 0.006701138","8.908322e-04","   837","7.859553e-03","UP",0.799342105263158
"PRKCSH"," 0.006659977","1.507127e-03","   457","1.168921e-02","UP",0.802631578947368
"MARCKS"," 0.006584927","1.745042e-05","   950","3.964470e-04","UP",0.805921052631579
"LDHA"," 0.006543412","1.026069e-02","   134","4.740129e-02","UP",0.809210526315789
"PARP9"," 0.006514411","1.550825e-03","   656","1.190712e-02","UP",0.8125
"DNAJB9"," 0.006483956","2.597406e-04","  1055","3.189681e-03","UP",0.815789473684211
"LDOC1"," 0.006389580","2.511851e-03","   627","1.731441e-02","UP",0.819078947368421
"NDUFB5"," 0.006388596","1.011688e-02","  1162","4.686631e-02","UP",0.822368421052632
"TNFRSF1A"," 0.006383671","4.859427e-04","   332","4.983554e-03","UP",0.825657894736842
"ME1"," 0.006326975","4.818720e-03","   452","2.795492e-02","UP",0.828947368421053
"PTMS"," 0.006313030","8.743474e-03","   570","4.210269e-02","UP",0.832236842105263
"PMVK"," 0.006309384","8.448278e-04","  1077","7.539064e-03","UP",0.835526315789474
"PALLD"," 0.006295169","2.367618e-04","   553","2.973477e-03","UP",0.838815789473684
"KRT10"," 0.006248788","4.271756e-03","  1497","2.590820e-02","UP",0.842105263157895
"GPS2"," 0.006198891","4.230043e-03","   811","2.578223e-02","UP",0.845394736842105
"DKK3"," 0.006174862","6.071122e-03","   113","3.303632e-02","UP",0.848684210526316
"BCAM"," 0.006163990","1.681389e-03","   204","1.271521e-02","UP",0.851973684210526
"COPE"," 0.006140822","4.409446e-03","   646","2.634964e-02","UP",0.855263157894737
"CHCHD10"," 0.006091277","3.181470e-03","   701","2.075357e-02","UP",0.858552631578947
"CABP7"," 0.006058598","3.734072e-03","   559","2.356456e-02","UP",0.861842105263158
"SERPINB6"," 0.005967964","3.178970e-03","   877","2.075357e-02","UP",0.865131578947368
"MLLT11"," 0.005891747","4.562363e-04","   409","4.820927e-03","UP",0.868421052631579
"ENTPD3"," 0.005771567","2.760992e-04","   449","3.360296e-03","UP",0.871710526315789
"PTPRA"," 0.005751778","1.396798e-03","   565","1.105363e-02","UP",0.875
"SYT5"," 0.005644541","3.321025e-03","   285","2.148004e-02","UP",0.878289473684211
"GRIA4"," 0.005556707","8.687180e-05","   255","1.384979e-03","UP",0.881578947368421
"P4HA1"," 0.005535874","4.247784e-03","   362","2.584907e-02","UP",0.884868421052632
"CTSF"," 0.005514804","4.573004e-03","   230","2.701409e-02","UP",0.888157894736842
"NDN"," 0.005493346","4.285269e-04","   493","4.606485e-03","UP",0.891447368421053
"GREM2"," 0.005472935","3.573877e-03","   136","2.268490e-02","UP",0.894736842105263
"CCDC67"," 0.005389028","2.584411e-03","   317","1.768046e-02","UP",0.898026315789474
"MMRN1"," 0.005348445","4.035152e-04","   218","4.400280e-03","UP",0.901315789473684
"BZW2"," 0.005329280","4.718627e-03","   366","2.760378e-02","UP",0.904605263157895
"REEP2"," 0.005317563","1.741499e-03","   454","1.297187e-02","UP",0.907894736842105
"GEM"," 0.005312602","4.688850e-03","   189","2.751803e-02","UP",0.911184210526316
"PODXL2"," 0.005258774","6.395635e-03","   439","3.435643e-02","UP",0.914473684210526
"MAPT"," 0.005236424","4.439567e-03","   492","2.642625e-02","UP",0.917763157894737
"FBXW7"," 0.005198043","1.404630e-03","   604","1.108343e-02","UP",0.921052631578947
"LETMD1"," 0.005188859","9.298381e-04","   512","8.073059e-03","UP",0.924342105263158
"ASNA1"," 0.005134949","6.914641e-03","   305","3.625156e-02","UP",0.927631578947368
"UBXN6"," 0.005132959","7.406643e-03","   603","3.796997e-02","UP",0.930921052631579
"FKBP8"," 0.005042968","4.845989e-03","   278","2.804929e-02","UP",0.934210526315789
"ARL4C"," 0.004940472","2.818675e-03","   323","1.895023e-02","UP",0.9375
"SEMA4B"," 0.004920903","6.773474e-03","   167","3.564857e-02","UP",0.940789473684211
"LSR"," 0.004729468","5.970260e-03","   261","3.273551e-02","UP",0.944078947368421
"SOCS2"," 0.004680838","7.981111e-03","   305","3.970780e-02","UP",0.947368421052632
"GRIA2"," 0.004634759","5.581644e-03","   511","3.118191e-02","UP",0.950657894736842
"TTC39C"," 0.004620884","3.961040e-03","   382","2.457032e-02","UP",0.953947368421053
"MRPL50"," 0.004515412","7.266361e-04","   452","6.703783e-03","UP",0.957236842105263
"PKIG"," 0.004481324","6.669206e-03","   371","3.544361e-02","UP",0.960526315789474
"CHN1"," 0.004465759","7.409544e-03","   392","3.796997e-02","UP",0.963815789473684
"CHL1"," 0.004370488","5.922172e-03","   291","3.264301e-02","UP",0.967105263157895
"DDC"," 0.004288515","7.062300e-04","   236","6.582347e-03","UP",0.970394736842105
"COX7A1"," 0.004200990","7.328676e-03","   671","3.780428e-02","UP",0.973684210526316
"KRT222"," 0.004119866","6.747381e-03","   408","3.558891e-02","UP",0.976973684210526
"GDA"," 0.004048259","7.939487e-03","   246","3.969682e-02","UP",0.980263157894737
"TCF4"," 0.003950151","8.463035e-03","   353","4.149653e-02","UP",0.983552631578947
"GCK"," 0.003894883","4.617023e-03","   427","2.721515e-02","UP",0.986842105263158
"UTRN"," 0.003838622","3.925924e-03","   319","2.438294e-02","UP",0.990131578947368
